GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US48467,48467,"Van Zandt County, Texas",27482,1937,35095,1975,20066,1957
0500000US48469,48469,"Victoria County, Texas",27133,991,34239,2128,21613,1101
0500000US48471,48471,"Walker County, Texas",24871,1590,29954,2514,20619,2057
0500000US48473,48473,"Waller County, Texas",25537,1481,30520,2234,20338,2053
0500000US48475,48475,"Ward County, Texas",30552,3377,42574,3775,18340,4557
0500000US48477,48477,"Washington County, Texas",25752,1875,31832,3152,20416,1353
0500000US48479,48479,"Webb County, Texas",20510,614,25158,851,16753,547
0500000US48481,48481,"Wharton County, Texas",25046,1201,30556,1557,19404,1250
0500000US48483,48483,"Wheeler County, Texas",30258,5023,43581,3354,16740,2927
0500000US48485,48485,"Wichita County, Texas",25271,694,28798,1668,21788,744
0500000US48487,48487,"Wilbarger County, Texas",24666,2291,28528,4390,21114,1966
0500000US48489,48489,"Willacy County, Texas",19711,1832,20793,2944,18157,3031
0500000US48491,48491,"Williamson County, Texas",38160,781,46079,1264,31108,606
0500000US48493,48493,"Wilson County, Texas",33721,2189,42114,2146,26881,1966
0500000US48495,48495,"Winkler County, Texas",29265,3671,45179,4389,16097,1436
0500000US48497,48497,"Wise County, Texas",31850,1044,42064,1612,22239,1658
0500000US48499,48499,"Wood County, Texas",24428,2074,29966,2670,19306,2178
0500000US48501,48501,"Yoakum County, Texas",28770,3752,37813,7725,16842,2575
0500000US48503,48503,"Young County, Texas",25977,1520,32898,4351,21191,2076
0500000US48505,48505,"Zapata County, Texas",20345,2554,30539,6326,13140,2222
0500000US48507,48507,"Zavala County, Texas",15986,1488,18534,3508,13450,1814
0500000US49001,49001,"Beaver County, Utah",25946,3203,34290,5639,17168,5269
0500000US49003,49003,"Box Elder County, Utah",30035,1426,40417,1421,18475,1460
0500000US49005,49005,"Cache County, Utah",20544,497,27233,706,13395,670
0500000US49007,49007,"Carbon County, Utah",22110,1719,36506,3123,15102,1848
0500000US49009,49009,"Daggett County, Utah",16000,10262,31136,25176,6739,3155
0500000US49011,49011,"Davis County, Utah",31823,514,45463,1275,20509,646
0500000US49013,49013,"Duchesne County, Utah",36321,2950,50534,1861,16259,1220
0500000US49015,49015,"Emery County, Utah",28565,2392,43073,3524,15422,1341
0500000US49017,49017,"Garfield County, Utah",21392,1673,29545,6087,17363,1814
0500000US49019,49019,"Grand County, Utah",21027,3497,26720,4080,15307,2150
0500000US49021,49021,"Iron County, Utah",19281,1108,27293,3871,13052,1115
0500000US49023,49023,"Juab County, Utah",23901,2854,39528,5218,12815,2106
0500000US49025,49025,"Kane County, Utah",25663,1911,31533,3558,22969,3137
0500000US49027,49027,"Millard County, Utah",21797,2073,35772,3106,11791,1331
0500000US49029,49029,"Morgan County, Utah",35208,4072,48807,4183,21922,4484
0500000US49031,49031,"Piute County, Utah",17128,2769,24313,5008,15195,4560
0500000US49033,49033,"Rich County, Utah",26932,6831,41101,2198,11176,2645
0500000US49035,49035,"Salt Lake County, Utah",29379,446,35522,486,23341,405
0500000US49037,49037,"San Juan County, Utah",26066,1855,31245,1524,21106,2667
0500000US49039,49039,"Sanpete County, Utah",20568,1320,32145,1931,11403,1195
0500000US49041,49041,"Sevier County, Utah",22887,2241,35528,2750,12858,1233
0500000US49043,49043,"Summit County, Utah",37220,2439,48287,3688,26520,1729
0500000US49045,49045,"Tooele County, Utah",35396,1500,45420,2445,23311,2323
0500000US49047,49047,"Uintah County, Utah",31248,1534,50611,3105,14977,1725
0500000US49049,49049,"Utah County, Utah",21911,280,32559,793,12851,515
0500000US49051,49051,"Wasatch County, Utah",30227,2230,41016,3279,17530,2736
0500000US49053,49053,"Washington County, Utah",22789,1151,30118,2103,17167,913
0500000US49055,49055,"Wayne County, Utah",21212,3029,26635,4881,16172,5938
0500000US49057,49057,"Weber County, Utah",27308,550,35908,925,20921,557
0500000US50001,50001,"Addison County, Vermont",26910,1058,32638,1628,21709,1023
0500000US50003,50003,"Bennington County, Vermont",26133,1248,30763,1136,22001,1113
0500000US50005,50005,"Caledonia County, Vermont",25679,934,29738,1981,22200,1333
0500000US50007,50007,"Chittenden County, Vermont",30448,667,36501,1336,24885,1005
0500000US50009,50009,"Essex County, Vermont",23555,2387,30114,3720,19125,1763
0500000US50011,50011,"Franklin County, Vermont",32289,806,37182,1434,28298,1541
0500000US50013,50013,"Grand Isle County, Vermont",31629,1340,37535,3666,27254,2326
0500000US50015,50015,"Lamoille County, Vermont",28165,1454,31190,1542,25192,1925
0500000US50017,50017,"Orange County, Vermont",30720,823,33987,1629,26864,1212
0500000US50019,50019,"Orleans County, Vermont",24976,792,29057,1679,21585,769
0500000US50021,50021,"Rutland County, Vermont",26637,751,31358,1213,22476,1024
0500000US50023,50023,"Washington County, Vermont",32183,737,35407,1151,30118,969
